600,60.0
1200,81.0
1800,28.0
600,60.0
1200,81.0
1800,28.0
200,21.0
400,45.0
200,21.0
400,45.0
200,21.0
400,45.0
200,21.0
400,45.0
200,-663.4029541015625
200,-3.5851032733917236
400,31.0
11000,58.0
22000,67.0
33000,117.0
44000,114.0
11000,58.0
1024,-6542.33642578125
2048,-5139.76171875
3072,-6562.53857421875
4096,-5610.81298828125
5120,-5255.22509765625
6144,-5037.67529296875
7168,-6769.06884765625
8192,-6639.1708984375
9216,-5816.41796875
10240,-6379.5830078125
11264,-6155.20849609375
12288,-7591.70166015625
13312,-6789.97216796875
14336,-5987.482421875
15360,-6060.484375
16384,-6276.9677734375
17408,-5824.68798828125
18432,-6532.98046875
19456,-6679.1748046875
20480,-6744.00537109375
21504,-6277.03125
22528,-7093.21875
23552,-5296.37451171875
24576,-6746.3642578125
25600,-6527.09423828125
26624,-7301.9033203125
27648,-7316.111328125
28672,-5536.87158203125
29696,-5353.62353515625
30720,-5582.0859375
31744,-6897.93798828125
32768,-5911.978515625
33792,-6096.2490234375
34816,-5010.38671875
35840,-5873.04638671875
36864,-6315.46142578125
37888,-6032.09716796875
38912,-7177.05859375
39936,-6554.67626953125
40960,-6832.6171875
41984,-6753.7744140625
43008,-6978.2470703125
44032,-5616.2021484375
45056,-6155.87548828125
46080,-4823.5859375
47104,-5147.3408203125
48128,-6517.38916015625
49152,-7269.255859375
50176,-6731.1630859375
51200,-5980.56591796875
52224,-7437.203125
53248,-5656.33447265625
54272,-7311.83447265625
55296,-7474.5078125
56320,-7412.44580078125
57344,-6171.99072265625
58368,-7058.388671875
59392,-7360.80224609375
60416,-6366.0849609375
61440,-5944.14208984375
62464,-6167.048828125
63488,-6757.48779296875
64512,-5152.009765625
65536,-5125.42138671875
66560,-6039.89111328125
67584,-6092.99609375
68608,-5537.22705078125
69632,-6186.39697265625
70656,-6083.7021484375
71680,-5639.81298828125
72704,-5930.3486328125
73728,-6272.7353515625
74752,-6807.96044921875
75776,-6657.97607421875
76800,-5668.81787109375
77824,-5764.83642578125
78848,-6534.2998046875
79872,-5394.1494140625
80896,-5910.92529296875
81920,-6456.9853515625
82944,-5508.033203125
83968,-6037.6796875
84992,-6070.47314453125
86016,-5864.2255859375
87040,-5899.61962890625
88064,-5487.80126953125
89088,-6125.16455078125
90112,-7076.19189453125
91136,-5765.83984375
92160,-5900.53515625
93184,-6652.7177734375
94208,-5664.38623046875
95232,-6950.09912109375
96256,-5832.2021484375
97280,-6266.04248046875
98304,-5336.70166015625
99328,-6332.484375
100352,-5861.77734375
