600,30.0
1200,60.0
1800,90.0
600,30.0
1200,60.0
1800,90.0
200,10.0
400,20.0
200,10.0
400,20.0
200,10.0
400,20.0
200,10.0
400,20.0
200,19.0
200,19.0
200,2.0
400,10.0
11000,200.0
22000,1300.0
33000,2400.0
44000,3500.0
11000,200.0
1024,18.0
2048,36.0
3072,54.0
4096,72.0
5120,90.0
6144,108.0
7168,126.0
8192,144.0
9216,162.0
10240,180.0
11264,198.0
12288,216.0
13312,234.0
14336,252.0
15360,270.0
16384,288.0
17408,306.0
18432,324.0
19456,342.0
20480,360.0
21504,378.0
22528,396.0
23552,414.0
24576,432.0
25600,450.0
26624,468.0
27648,486.0
28672,504.0
29696,522.0
30720,540.0
31744,558.0
32768,576.0
33792,594.0
34816,612.0
35840,630.0
36864,648.0
37888,666.0
38912,684.0
39936,702.0
40960,720.0
41984,738.0
43008,756.0
44032,774.0
45056,792.0
46080,810.0
47104,828.0
48128,846.0
49152,864.0
50176,882.0
51200,900.0
52224,918.0
53248,936.0
54272,954.0
55296,972.0
56320,990.0
57344,1008.0
58368,1026.0
59392,1044.0
60416,1062.0
61440,1080.0
62464,1098.0
63488,1116.0
64512,1134.0
65536,1152.0
66560,1170.0
67584,1188.0
68608,1206.0
69632,1224.0
70656,1242.0
71680,1260.0
72704,1278.0
73728,1296.0
74752,1314.0
75776,1332.0
76800,1350.0
77824,1368.0
78848,1386.0
79872,1404.0
80896,1422.0
81920,1440.0
82944,1458.0
83968,1476.0
84992,1494.0
86016,1512.0
87040,1530.0
88064,1548.0
89088,1566.0
90112,1584.0
91136,1602.0
92160,1620.0
93184,1638.0
94208,1656.0
95232,1674.0
96256,1692.0
97280,1710.0
98304,1728.0
99328,1746.0
100352,1764.0
2000,2.0
4000,4.0
6000,6.0
8000,8.0
10000,10.0
12000,12.0
14000,14.0
16000,16.0
18000,18.0
20000,20.0
22000,22.0
24000,24.0
26000,26.0
28000,28.0
30000,30.0
32000,32.0
34000,34.0
36000,36.0
38000,38.0
40000,40.0
42000,42.0
44000,44.0
46000,46.0
48000,48.0
50000,50.0
52000,52.0
54000,54.0
56000,56.0
58000,58.0
60000,60.0
62000,62.0
64000,64.0
66000,66.0
