200,-87.46968841552734
2000,-76.7229995727539
4000,-86.02467346191406
6000,-85.22455596923828
8000,-139.843017578125
10000,-151.898193359375
12000,-174.88497924804688
14000,-160.77088928222656
16000,-164.88491821289062
18000,-188.27630615234375
20000,-211.8275909423828
22000,-240.84674072265625
24000,-197.41207885742188
26000,-267.8096618652344
28000,-288.38555908203125
30000,-206.58538818359375
32000,-282.93121337890625
34000,-253.7264404296875
36000,-205.3103485107422
38000,-283.7860412597656
40000,-309.9344787597656
42000,-345.9331359863281
44000,-229.57167053222656
46000,-216.86842346191406
48000,-291.33831787109375
50000,-290.7982482910156
52000,-279.0003662109375
54000,-296.1891784667969
56000,-330.5994873046875
58000,-370.0302429199219
60000,-330.32147216796875
62000,-289.3082580566406
64000,-333.8428039550781
66000,-321.3290710449219
